DATE PM2p5 PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range SO2 O3 NO2 CO
20140101 25 117 4.0 7.9 0.3 2.1 0.0 7.6 0.01 0.013 0.032 0.6
20140102 19 52 1.5 6.2 -1.3 0.3 0 7.5 0.008 0.01 0.038 0.7
20140103 26 59 2.3 7.3 -1.1 4.6 0 8.4 0.008 0.004 0.055 0.9
20140104 20 44 -0.1 5.6 -3.7 0.9 0 9.3 0.006 0.009 0.034 0.6
20140105 22 42 -0.8 3.8 -4.3 2.1 0 8.1 0.006 0.007 0.037 0.7
20140106 37 66 0.8 6.4 -3.7 3.1 0 10.1 0.009 0.004 0.055 1.0
20140107 47 84 3.0 5.5 0.3 8.5 0.0 5.2 0.011 0.003 0.065 1.1
20140108 38 67 0.5 4.0 -5.7 7.4 0.0 9.7 0.008 0.012 0.035 0.7
20140109 7 20 -7.8 -4.3 -10.4 0.0 0 6.1 0.004 0.022 0.017 0.3
20140110 18 34 -4.7 -0.9 -9.3 3.1 0.0 8.4 0.007 0.007 0.04 0.6
20140111 27 50 -1.7 2.4 -5.4 4.5 0 7.8 0.008 0.006 0.049 0.8
20140112 28 58 -2.4 2.5 -7.7 2.5 0.0 10.2 0.008 0.014 0.034 0.7
20140113 11 27 -6.2 -1.6 -10.5 0.0 0 8.9 0.005 0.016 0.026 0.4
20140114 21 41 -4.3 1.1 -8.9 0.0 0 10.0 0.007 0.009 0.04 0.6
20140115 30 56 -2.9 2.2 -7.6 0.9 0 9.8 0.008 0.009 0.044 0.8
20140116 53 96 0.1 3.6 -4.0 6.8 0 7.6 0.011 0.003 0.059 1.1
20140117 64 117 -0.1 3.8 -3.7 1.8 0 7.5 0.009 0.005 0.058 1.3
20140118 25 57 -2.2 0.8 -4.9 0.4 0 5.7 0.007 0.019 0.025 0.6
20140119 25 48 -2.6 2.4 -7.4 4.9 0.0 9.8 0.008 0.01 0.036 0.6
20140120 34 63 -1.5 1.9 -4.2 9.6 5.3 6.1 0.006 0.008 0.037 0.7
20140121 63 103 -5.5 -3.1 -7.2 5.3 0.7 4.1 0.011 0.016 0.029 0.8
20140122 58 94 -3.9 1.6 -9.5 1.0 0 11.1 0.009 0.008 0.051 0.9
20140123 35 56 -0.8 4.1 -5.2 3.4 0 9.3 0.008 0.005 0.06 1.0
20140124 38 60 3.0 5.7 -1.1 8.5 0 6.8 0.008 0.003 0.061 1.0
20140125 30 50 4.2 6.3 -0.4 7.0 3.0 6.7 0.007 0.006 0.047 1.0
20140126 17 34 -2.1 2.3 -5.3 0.0 0 7.6 0.005 0.018 0.025 0.4
20140127 20 37 0.2 6.0 -5.4 1.6 0 11.4 0.007 0.005 0.05 0.7
20140128 13 30 1.5 4.6 -3.0 3.6 0.5 7.6 0.005 0.012 0.036 0.5
20140129 19 41 2.2 8.2 -5.3 4.3 0 13.5 0.006 0.005 0.055 0.8
20140130 20 39 4.0 6.5 -1.0 5.8 3.5 7.5 0.006 0.012 0.038 0.6
20140131 11 23 1.3 7.0 -4.3 1.0 0 11.3 0.005 0.012 0.033 0.5
20140201 14 25 4.9 6.0 3.7 9.6 11.0 2.3 0.005 0.005 0.041 0.7
20140202 13 20 4.9 6.5 2.8 8.9 0.5 3.7 0.004 0.008 0.033 0.7
20140203 14 61 -3.5 2.8 -8.2 2.6 0 11.0 0.004 0.021 0.017 0.4
20140204 11 33 -7.4 -3.7 -10.5 0.1 0 6.8 0.005 0.024 0.016 0.4
20140205 18 41 -4.8 0.3 -8.9 4.5 0 9.2 0.007 0.015 0.03 0.5
20140206 23 46 -1.3 4.5 -5.2 5.0 0 9.7 0.006 0.008 0.043 0.7
20140207 9 17 2.4 7.6 -2.0 8.4 0.0 9.6 0.005 0.017 0.026 0.4
